HH,DAY,TOWN,YEARS,SEX,AGE,STATUS,EDUC,DISABLED,HEAD,SEX_HH,AGE_HH,STATUS_HH,EDUC_HH,DISABLED_HH,AGE_HH_SPOUSE,EDUC_HH_SPOUSE,DISABLED_HH_SPOUSE,HH_SIZE,N_ADULTS,PRIMARY_WS,SUFFICIENT_WATER,TOTAL_TIME,PAY_WATER,TOTAL_COST,ELECTRIC,TOTAL_INCOME,TIME_LENGTH
1,17,0,10,0,27,1,3,0,1,0,27,1,3,0,NA,NA,NA,7,4,6,1,7,1,410.4166667,1,NA,35
2,18,0,10,0,42,1,4,0,1,0,42,1,4,0,37,4,0,6,3,6,1,18,1,NA,1,NA,45
3,18,0,5,0,23,1,4,0,1,0,23,1,4,0,20,4,0,6,3,NA,1,NA,0,0,1,NA,30
4,18,0,3,0,39,1,9999,0,1,0,39,1,9999,0,22,4,0,5,3,2,1,0,1,NA,1,NA,31
5,18,0,11,0,27,2,3,0,1,0,27,2,3,0,18,2,0,6,4,4,1,11,1,NA,1,NA,40
6,18,0,3,1,22,1,4,0,0,0,39,1,9999,0,22,4,0,5,3,2,1,0,1,NA,1,NA,41
7,18,0,6,1,29,2,4,0,0,0,32,2,4,0,29,4,0,4,2,3,1,36,1,180,1,NA,38
8,18,0,5,0,19,2,2,0,1,0,19,2,2,0,15,1,0,4,2,2,1,0,1,121.6666667,0,60833.33333,30
9,18,0,12,1,18,1,2,0,0,0,27,1,3,0,18,2,0,6,4,6,1,20,1,30.41666667,1,NA,50
10,18,0,1,0,30,1,4,0,1,0,30,1,4,0,21,3,0,5,2,4,1,9999,1,60.83333333,0,34761.90476,35
11,18,0,27,0,50,1,5,0,1,0,50,1,5,0,47,4,0,5,5,1,0,0,1,2100,1,35000,38
12,18,0,12,0,39,1,2,0,1,0,39,1,2,0,27,1,0,6,2,4,1,45,1,120,1,NA,60
13,18,0,1,0,58,1,4,0,1,0,58,1,4,0,34,3,0,8,3,2,1,65,1,600,1,NA,60
14,18,0,15,0,42,1,4,0,1,0,42,1,4,0,33,4,0,5,4,2,1,0,1,400,1,NA,45
15,18,0,10,0,29,1,3,0,1,0,29,1,3,0,23,1,0,5,2,6,1,5,1,273.75,1,NA,35
1,8,0,7,0,23,1,3,0,1,0,23,1,3,0,20,0,0,5,2,3,0,17,1,608.3333333,1,4345.238095,65
2,10,0,0.333333333,1,23,0,4,0,1,1,23,0,4,0,9998,9998,9998,4,1,5,1,50,1,20,0,NA,70
3,10,0,0.166666667,0,27,2,4,0,1,0,27,2,4,0,26,4,0,4,2,6,1,9999,0,0,1,4000,46
4,10,0,0.666666667,0,45,2,2,0,1,0,45,2,2,0,42,2,0,5,2,3,0,100,0,0,0,NA,40
5,10,0,2,0,26,2,2,0,1,0,26,2,2,0,20,1,0,5,2,3,1,150,1,20,0,NA,48
6,10,0,0.416666667,1,22,1,1,0,0,0,27,1,1,0,22,1,0,6,3,4,0,16,0,0,1,NA,61
7,10,0,45,0,66,1,1,0,1,0,66,1,1,0,54,0,0,5,2,6,1,11,0,0,1,NA,44
8,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,10,0,4,1,29,5,4,0,1,1,29,5,4,0,9998,9998,9998,3,1,4,1,20,1,40,1,NA,36
11,10,0,7,1,29,1,1,0,0,0,32,1,2,0,29,1,0,4,4,5,0,9999,0,0,1,NA,40
12,10,0,4,0,31,2,4,0,1,0,31,2,4,0,29,3,0,4,2,5,1,3,1,35,1,NA,34
13,10,0,8,0,44,1,2,1,1,0,44,1,2,1,40,1,1,9,5,2,1,0,1,NA,1,NA,50
14,10,0,4,0,32,2,4,0,1,0,32,2,4,0,27,4,0,7,2,2,1,0,1,820,1,NA,62
15,10,0,15,0,35,2,4,0,1,0,35,2,4,0,25,3,0,4,2,5,1,9,1,430,1,NA,40
1,18,0,42,0,62,1,5,0,1,0,62,1,5,0,58,5,0,5,4,1,0,0,1,3500,1,3500,30
2,19,0,6,0,40,1,5,0,1,0,40,1,5,0,35,4,0,4,4,2,1,0,1,630,1,NA,30
3,19,0,10,1,40,5,4,0,1,1,40,5,4,0,9998,9998,9998,5,5,2,1,0,1,140,1,NA,40
4,19,0,3,0,35,2,4,0,1,0,35,2,4,0,28,4,0,5,4,2,1,2,0,0,1,NA,38
5,19,0,4,1,39,0,4,0,1,1,39,0,4,0,9998,9998,9998,4,3,2,1,0,0,0,1,NA,48
6,19,0,10,0,43,2,4,0,1,0,43,2,4,0,30,4,0,5,3,2,1,0,0,NA,1,NA,39
7,19,0,10,0,41,1,5,0,1,0,41,1,5,0,39,4,0,6,4,2,1,0,1,605,1,NA,41
8,19,0,5,0,32,2,3,0,1,0,32,2,3,0,27,4,0,5,2,4,1,8,1,100,1,NA,39
9,19,0,10,1,42,4,4,0,1,1,42,4,4,0,9998,9998,9998,3,2,2,0,0,1,700,1,6000,31
10,19,0,7,1,39,4,4,0,1,1,39,4,4,0,9998,9998,9998,4,3,6,1,20,1,304.1666667,1,NA,35
11,19,0,12,1,40,5,4,0,1,1,40,5,4,0,9998,9998,9998,6,4,2,1,0,1,140,1,NA,30
12,19,0,2,1,39,5,2,0,1,1,39,5,2,0,9998,9998,9998,8,3,2,1,0,1,NA,0,NA,46
13,19,0,2,1,39,5,2,0,1,1,39,5,2,0,9998,9998,9998,8,3,6,1,4,1,60.83333333,1,NA,38
14,19,0,14,0,50,1,4,0,1,0,50,1,4,0,39,3,0,7,3,4,1,8,1,NA,1,NA,37
15,19,0,30,0,50,1,5,0,1,0,50,1,5,0,45,5,0,3,3,1,1,0,1,3000,1,60000,35
1,19,0,11,0,9999,2,4,0,1,0,9999,2,4,0,30,0,0,4,2,4,1,0,1,30.41666667,1,NA,88
2,19,0,6,1,25,5,3,0,1,1,25,5,3,0,9998,9998,9998,5,1,4,1,6,1,100,0,1500,51
3,19,0,7,0,50,1,9999,1,1,0,50,1,9999,1,47,1,1,8,3,2,1,0,1,715,1,NA,37
4,19,0,2,1,30,5,4,0,1,1,30,5,4,0,9998,9998,9998,7,1,6,1,3,0,0,1,NA,34
5,19,0,10,0,53,5,5,0,1,0,53,5,5,0,9998,9998,9998,5,3,1,1,0,1,1575,1,45332,36
6,19,0,5,0,53,1,5,0,1,0,53,1,5,0,41,5,0,5,3,2,1,0,1,655,1,64940,31
7,19,0,6,1,37,2,4,0,0,0,42,2,5,0,37,4,0,11,7,2,1,0,1,184,1,NA,33
8,19,0,5,1,32,1,3,0,0,0,41,1,4,0,32,3,0,5,4,2,1,0,0,0,1,NA,48
9,19,0,2,1,30,5,4,0,1,1,30,5,4,0,9998,9998,9998,7,2,6,1,3,0,0,1,NA,41
10,19,0,4,0,37,1,4,0,1,0,37,1,4,0,22,4,0,5,3,4,0,1,0,0,1,NA,44
11,19,0,8,1,32,2,1,0,0,0,35,2,2,0,32,1,0,5,2,4,1,3,0,0,1,NA,34
12,19,0,12,1,39,1,5,0,0,0,40,1,5,0,39,5,0,6,5,2,1,0,1,210,1,NA,37
13,19,0,1,0,25,2,4,0,1,0,25,2,4,0,20,3,0,4,2,2,1,0,1,500,1,7510,38
14,19,0,9,1,30,5,3,0,1,1,30,5,3,0,9998,9998,9998,3,2,3,0,12,0,0,0,1800,40
15,19,0,5,0,36,2,4,0,1,0,36,2,4,0,32,3,0,5,2,2,1,0,1,3000,1,11750,35
1,10,0,10,0,41,2,4,0,1,0,41,2,4,0,32,3,0,5,2,5,1,3,0,0,1,91250,33
2,11,0,20,0,27,2,2,0,1,0,27,2,2,0,29,2,0,6,3,2,1,0,1,456.25,1,NA,40
3,11,0,5,1,30,0,4,0,1,1,30,0,4,0,9998,9998,9998,3,1,2,1,0,1,380,1,NA,42
4,11,0,7,1,46,2,1,0,0,0,55,2,4,0,46,1,0,8,5,2,1,0,1,550,1,NA,47
5,11,0,3,0,41,1,1,0,1,0,41,1,1,0,30,1,0,8,4,2,1,0,1,456.25,1,NA,36
6,11,0,8,1,NA,NA,NA,NA,NA,0,45,2,4,0,NA,NA,NA,5,2,1,0,0,1,727,1,NA,34
7,11,0,9,1,37,2,1,0,0,0,36,2,2,0,37,1,0,8,2,2,0,0,1,400,1,3000,40
8,11,0,10,0,32,2,1,0,1,0,32,2,1,0,27,1,0,7,4,2,1,0,0,0,1,NA,36
9,11,0,0.916666667,0,45,1,3,0,1,0,45,1,3,0,30,4,0,6,3,5,1,9999,0,0,1,NA,81
10,11,0,13,0,40,1,3,0,1,0,40,1,3,0,35,2,0,7,3,5,1,70,0,0,1,NA,49
11,11,0,0.25,0,46,2,9999,0,1,0,46,2,9999,0,NA,NA,NA,3,2,5,1,15,0,0,1,NA,50
12,11,0,0.166666667,0,19,0,4,0,1,0,19,0,4,0,9998,9998,9998,3,2,6,1,9,0,0,1,NA,37
13,11,0,3,0,30,2,2,0,1,0,30,2,2,0,18,3,0,3,3,6,0,0,0,0,1,NA,38
14,11,0,5,0,30,2,4,0,1,0,30,2,4,0,27,3,0,3,2,1,1,0,1,500,1,2000,35
15,11,0,2,0,29,0,4,0,1,0,29,0,4,0,9998,9998,9998,3,2,3,1,30,1,43.45238095,1,3000,37
1,10,0,2,1,25,1,2,0,0,0,30,1,4,0,25,2,0,5,4,3,0,9999,1,461.25,1,NA,43
2,10,0,30,1,9999,1,9999,0,0,0,9999,1,9999,0,9999,9999,0,5,NA,2,1,0,1,400,1,NA,41
3,10,0,11,1,33,1,4,0,0,0,40,1,4,0,33,4,0,10,6,2,1,0,1,0,1,NA,43
4,10,0,5,1,20,1,3,0,0,0,23,1,4,0,20,3,0,8,5,6,0,9999,1,304.1666667,1,NA,60
5,10,0,10,1,35,2,2,0,0,0,40,2,3,0,35,2,0,5,4,6,1,9999,1,152.0833333,0,NA,33
6,10,0,5,1,25,2,1,0,0,0,35,2,9999,0,25,1,0,8,5,3,1,12,1,0,0,NA,30
7,10,0,8,0,30,0,1,0,1,0,30,0,1,0,9998,9998,9998,6,2,2,0,0,1,121.6666667,1,2500,38
8,10,0,3,0,25,0,4,0,1,0,25,0,4,0,9998,9998,9998,2,2,3,1,15,0,0,1,NA,40
9,10,0,2,1,24,2,4,0,0,0,25,2,4,0,24,4,0,8,4,6,1,80,1,26,1,NA,35
10,10,0,2,0,37,2,3,0,1,0,37,2,3,0,20,2,0,2,2,3,0,70,1,150,1,3000,35
11,10,0,8,1,31,1,1,0,0,0,80,1,9999,0,31,1,0,7,3,2,0,0,0,0,1,NA,51
12,10,0,0.333333333,0,25,2,1,0,1,0,25,2,1,0,20,3,0,6,5,NA,0,NA,0,0,0,2500,37
13,10,0,7,0,48,0,NA,0,1,0,48,0,NA,0,9998,9998,9998,7,3,4,1,45,1,60.83333333,0,NA,38
14,10,0,10,1,40,1,0,0,0,0,52,1,1,0,40,0,0,8,6,2,1,0,0,0,1,NA,50
15,10,0,3,0,82,1,1,0,1,0,82,1,1,0,53,1,0,12,5,6,1,9999,0,0,1,NA,69
1,17,0,6,0,30,1,4,0,1,0,30,1,4,0,22,3,0,8,3,4,1,21,1,304.1666667,1,NA,54
2,17,0,3,1,30,4,3,0,1,1,30,4,3,0,9998,9998,9998,5,1,4,1,7,1,456.25,1,NA,45
3,18,0,4,0,29,2,3,0,1,0,29,2,3,0,23,3,0,3,2,2,1,0,1,1500,1,350,38
4,18,0,13,1,40,5,3,0,1,1,40,5,3,0,9998,9998,9998,3,3,NA,1,NA,0,152.0833333,0,NA,34
5,18,0,9999,1,62,4,2,0,1,1,62,4,2,0,9998,9998,9998,3,2,3,0,70,0,0,0,2100,30
6,18,0,10,0,45,1,5,0,1,0,45,1,5,0,30,4,0,5,3,2,1,0,1,520,1,NA,42
7,18,0,4,0,35,1,4,0,1,0,35,1,4,0,31,4,0,5,2,4,1,2,0,0,1,NA,45
8,18,0,2,1,29,3,4,0,1,1,29,3,4,0,9998,9998,9998,3,1,6,1,25,0,0,1,NA,50
9,18,0,4,1,28,2,3,0,0,0,31,2,3,0,28,3,0,5,3,2,1,0,1,280,1,NA,30
10,18,0,3,0,30,2,4,0,1,0,30,2,4,0,21,3,0,4,2,4,1,32,1,200,1,NA,30
11,18,0,7,0,38,2,4,0,1,0,38,2,4,0,27,2,0,7,2,2,1,0,1,153,1,NA,35
12,18,0,12,0,42,2,4,0,1,0,42,2,4,0,37,4,0,6,4,4,1,27,1,NA,1,NA,47
13,18,0,9,0,30,2,4,0,1,0,30,2,4,0,29,3,0,5,2,2,1,0,1,NA,1,NA,37
14,18,0,5,0,33,2,4,0,1,0,33,2,4,0,29,4,0,4,2,2,1,0,1,NA,1,NA,30
15,18,0,5,0,39,1,4,0,1,0,39,1,4,0,26,4,0,6,4,1,1,0,1,480,1,NA,60
1,10,0,5,0,40,1,1,0,1,0,40,1,1,0,39,2,0,6,4,2,1,0,1,600,1,NA,55
2,11,0,2,0,35,1,4,0,1,0,35,1,4,0,26,4,0,3,2,2,1,0,1,310,1,NA,67
3,11,0,0.333333333,0,28,2,4,0,1,0,28,2,4,0,22,4,0,2,2,2,1,0,1,250,1,NA,60
4,11,0,6,0,40,1,1,0,1,0,40,1,1,0,31,2,0,5,2,6,0,4,1,0,1,NA,47
5,11,0,8,1,34,1,1,0,0,0,40,1,2,1,34,1,0,5,3,6,1,3,0,0,1,NA,33
6,11,0,3,1,35,1,5,1,0,0,40,1,5,1,35,5,1,4,4,1,1,0,1,0,1,3000,45
7,11,0,5,1,31,1,5,1,0,0,38,1,4,0,31,5,1,6,3,2,0,0,1,NA,1,NA,55
8,11,0,9,0,34,1,3,0,1,0,34,1,3,0,24,2,0,5,2,6,0,62,1,0,1,NA,42
9,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,11,0,8,0,51,1,2,0,1,0,51,1,2,0,40,2,0,5,5,3,0,140,1,320,1,3000,52
12,11,0,3,0,32,2,4,0,1,0,32,2,4,0,25,4,0,3,2,3,0,95,0,0,1,NA,65
13,11,0,8,1,30,1,4,0,0,0,60,3,1,1,9998,9998,9998,3,2,2,1,0,1,130,1,NA,72
14,11,0,2,0,32,2,4,0,1,0,32,2,4,0,28,4,0,3,2,2,1,0,1,320,1,NA,50
15,11,0,2,0,32,2,4,0,1,0,32,2,4,0,26,4,0,5,2,2,1,0,1,290,1,3000,58
1,12,0,8,0,9999,1,9999,0,1,0,9999,1,9999,0,NA,NA,NA,10,2,2,1,0,1,381,1,20000,34
2,12,0,3,0,29,2,4,0,1,0,29,2,4,0,24,4,0,6,2,4,1,3,1,304.1666667,1,NA,31
3,12,0,21,0,33,1,4,0,1,0,33,1,4,0,28,4,0,4,2,2,1,0,0,0,1,4500,44
4,12,0,18,0,57,3,0,1,1,0,57,3,0,1,9998,9998,9998,2,2,4,1,3,1,304.1666667,1,NA,41
5,12,0,12,0,43,2,9999,0,1,0,43,2,9999,0,26,1,0,6,2,4,1,3,0,0,1,NA,54
6,12,0,23,0,53,2,3,1,1,0,53,2,3,1,38,3,0,5,2,4,1,7,1,621.3333333,1,NA,39
7,12,0,0.583333333,1,30,2,3,0,0,0,34,2,3,0,30,3,0,4,2,4,1,3,0,0,1,NA,35
8,12,0,0.333333333,0,50,4,2,0,1,0,50,4,2,0,9998,9998,9998,6,2,4,1,6,1,486.6666667,1,NA,30
9,12,0,5,0,30,2,4,0,1,0,30,2,4,0,25,3,0,2,2,4,1,35,0,0,1,NA,35
10,12,0,4,0,23,1,4,0,1,0,23,1,4,0,23,4,0,2,2,2,1,0,0,0,1,2389.880952,39
11,12,0,17,0,50,1,3,0,1,0,50,1,3,0,30,2,0,6,3,2,1,0,1,60.83333333,1,17500,48
12,12,0,32,0,48,0,2,0,1,0,48,0,2,0,9998,9998,9998,3,2,2,1,0,0,0,0,NA,32
13,12,0,8,0,30,1,3,0,1,0,30,1,3,0,23,3,0,4,2,2,1,0,0,0,1,12383.92857,30
14,12,0,10,0,30,1,3,0,1,0,30,1,3,0,27,3,0,7,2,2,0,0,1,1000,1,6517.857143,43
15,12,0,12,0,65,1,1,0,1,0,65,1,1,0,56,1,0,3,1,2,0,0,0,0,0,2172.619048,34
1,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,12,0,20,1,29,1,0,0,0,0,39,1,1,0,29,0,0,7,4,6,1,3,0,0,0,NA,46
3,12,0,6,1,31,5,4,1,1,1,31,5,4,1,9998,9998,9998,3,1,6,1,3,1,0,1,3000,36
4,12,0,2,1,23,2,4,0,0,0,26,2,4,0,23,4,0,2,2,6,1,3,1,60.83333333,1,NA,45
5,12,0,17,0,37,1,9999,0,1,0,37,1,9999,0,28,1,0,6,3,2,1,0,1,1200,1,NA,53
6,12,0,14,0,44,2,4,0,1,0,44,2,4,0,34,2,0,8,4,2,1,0,0,0,1,NA,57
7,12,0,22,0,26,2,3,0,1,0,26,2,3,0,22,2,0,3,2,2,1,0,1,0,0,NA,50
8,12,0,8,0,33,1,3,0,1,0,33,1,3,0,28,4,0,8,2,9,0,2,0,60.83333333,1,6000,43
9,12,0,10,1,54,4,2,0,1,1,54,4,2,0,9998,9998,9998,1,1,4,0,14,0,0,1,NA,60
10,12,0,4,1,29,1,3,0,0,0,30,1,4,0,29,3,0,5,2,4,1,14,1,60.83333333,1,5000,39
11,13,0,3,1,41,5,2,0,1,1,41,5,2,0,9998,9998,9998,3,1,4,0,6,0,0,1,NA,33
12,13,0,10,0,40,2,9999,1,1,0,40,2,9999,1,35,1,0,8,3,4,1,11,0,0,1,NA,36
13,13,0,3,1,28,1,4,0,0,0,31,1,4,0,28,4,0,6,4,2,1,0,1,0,1,3000,45
14,13,0,2,1,32,3,3,0,1,1,32,3,3,0,9998,9998,9998,2,1,6,1,3,1,0,1,NA,68
15,13,0,1,0,28,2,4,0,1,0,28,2,4,0,26,3,0,5,2,4,0,6,0,0,0,NA,41
1,8,0,43,1,57,5,0,0,1,1,57,5,0,0,9998,9998,9998,6,4,2,1,0,1,420,1,4779.761905,50
2,8,0,3,0,37,1,4,0,1,0,37,1,4,0,33,4,0,6,4,2,1,0,1,725,1,NA,50
3,8,0,20,1,43,1,2,0,1,1,43,1,2,0,NA,NA,NA,6,3,NA,1,NA,0,0,0,NA,55
4,8,0,12,1,30,5,3,0,1,1,30,5,3,0,9998,9998,9998,4,2,3,1,9,1,20,0,8690.47619,65
5,8,0,60,1,62,4,1,0,1,1,62,4,1,0,9998,9998,9998,4,NA,3,0,34,0,0,1,NA,55
6,8,0,20,1,39,1,0,0,0,0,73,1,9999,0,39,0,0,7,2,2,1,0,1,500,1,NA,53
7,8,0,60,0,75,1,9999,0,1,0,75,1,9999,0,60,9999,0,3,1,2,1,0,1,375,1,NA,65
8,8,0,43,1,57,5,0,0,1,1,57,5,0,0,9998,9998,9998,6,4,2,1,0,1,420,1,4779.761905,50
9,10,0,14,0,47,1,2,0,1,0,47,1,2,0,35,3,0,7,3,2,1,0,1,100,1,NA,68
10,10,0,36,0,60,1,9999,0,1,0,60,1,9999,0,50,9999,0,11,7,2,0,0,0,0,1,NA,67
11,10,0,26,1,41,4,2,0,1,1,41,4,2,0,9998,9998,9998,2,1,4,1,9999,0,0,0,NA,50
12,10,0,30,0,62,1,9999,0,1,0,62,1,9999,0,NA,NA,NA,8,3,2,1,0,1,184,1,3000,50
13,10,0,23,1,23,0,3,0,1,1,23,0,3,0,9998,9998,9998,1,1,6,1,15,0,0,1,NA,34
14,10,0,12,0,43,1,0,1,1,0,43,1,0,1,36,0,0,10,4,2,1,0,1,0,1,NA,92
15,11,0,21,0,49,0,3,1,1,0,49,0,3,1,9998,9998,9998,7,3,2,1,0,0,0,1,NA,33
1,10,0,32,1,53,5,1,0,1,1,53,5,1,0,9998,9998,9998,4,1,4,1,3,0,0,1,NA,50
2,10,0,12,1,45,0,2,1,1,1,45,0,2,1,9998,9998,9998,5,3,4,1,9999,1,38,1,NA,43
3,10,0,20,1,20,1,3,0,0,0,25,1,4,0,20,3,0,7,5,2,1,0,1,304.1666667,1,2172.619048,42
4,10,0,60,1,32,0,3,0,1,1,32,0,3,0,9998,9998,9998,8,5,2,1,0,1,608.3333333,0,NA,35
5,10,0,5,0,40,1,1,0,1,0,40,1,1,0,39,2,0,7,4,2,1,0,1,600,1,NA,55
6,11,0,50,0,52,2,3,0,1,0,52,2,3,0,37,2,0,6,4,2,0,0,1,228,1,5600,40
7,11,0,5,1,55,0,9999,1,1,1,55,0,9999,1,9998,9998,9998,7,4,2,1,0,1,300,1,NA,55
8,11,0,40,0,65,1,5,0,1,0,65,1,5,0,62,9999,0,10,6,2,0,0,0,0,1,NA,59
9,11,0,1,0,32,1,3,0,1,0,32,1,3,0,29,4,0,7,3,2,1,0,0,0,1,NA,43
10,11,0,8,0,30,2,3,1,1,0,30,2,3,1,28,3,0,7,4,4,1,31,1,45,1,2172.619048,37
11,11,0,0.416666667,0,45,1,9999,1,1,0,45,1,9999,1,40,9999,0,5,3,4,1,13,0,0,1,NA,50
12,11,0,10,0,33,1,5,0,1,0,33,1,5,0,33,5,0,4,3,2,0,0,1,NA,1,NA,34
13,11,0,5,0,48,2,9999,1,1,0,48,2,9999,1,39,2,0,8,5,2,1,0,1,300,1,NA,37
14,11,0,3,0,29,1,4,0,1,0,29,1,4,0,25,4,0,5,2,2,1,0,0,0,1,NA,30
15,11,0,4,0,32,1,9999,0,1,0,32,1,9999,0,20,1,0,7,5,4,1,7,0,0,1,NA,60
1,10,0,3,0,43,2,2,0,1,0,43,2,2,0,36,4,0,6,4,2,1,0,1,350,1,NA,52
2,11,0,23,0,56,1,3,0,1,0,56,1,3,0,55,1,0,6,4,2,1,0,1,300,1,NA,60
3,11,0,0.583333333,0,22,2,4,0,1,0,22,2,4,0,20,3,0,6,3,4,1,42,1,608.3333333,1,NA,55
4,11,0,10,0,35,2,5,0,1,0,35,2,5,0,23,4,0,5,3,2,1,0,1,330,1,3000,60
5,11,0,20,0,65,1,1,1,1,0,65,1,1,1,45,1,0,7,3,2,1,0,1,350,1,10000,65
6,11,0,24,0,55,1,3,1,1,0,55,1,3,1,47,1,0,5,3,2,1,0,0,0,1,NA,86
7,11,0,0.166666667,0,35,2,3,0,1,0,35,2,3,0,30,1,0,5,2,4,1,15,1,300,1,NA,61
8,11,0,34,0,34,3,2,0,1,0,34,3,2,0,9998,9998,9998,3,1,2,1,0,0,0,1,NA,50
9,11,0,8,0,52,1,4,0,1,0,52,1,4,0,50,3,0,7,6,2,0,0,0,0,1,NA,53
10,11,0,12,0,34,1,2,0,1,0,34,1,2,0,28,4,0,7,3,4,1,25,1,456.25,1,3000,78
11,12,0,3,0,50,2,3,0,1,0,50,2,3,0,34,1,0,2,2,5,1,9,1,360,0,NA,48
12,12,0,20,1,40,1,2,0,0,0,50,1,5,0,40,2,0,6,5,2,0,0,1,141,1,3000,45
13,12,0,16,0,46,1,3,0,1,0,46,1,3,0,25,2,0,9,2,4,1,9,1,620,1,NA,53
14,12,0,4,0,23,1,3,0,1,0,23,1,3,0,21,3,0,7,4,2,1,0,0,0,1,15208.33333,69
15,12,0,15,1,58,1,1,0,0,0,62,1,3,0,58,1,0,4,2,2,1,0,1,375,1,NA,33
1,8,0,8,0,43,2,4,0,1,0,43,2,4,0,29,4,0,4,2,2,1,0,0,0,1,NA,32
2,8,0,26,0,38,1,2,0,1,0,38,1,2,0,30,3,1,5,2,3,0,15,1,450,1,4000,75
3,8,0,16,0,44,1,5,0,1,0,44,1,5,0,32,4,0,7,3,2,0,0,1,600,1,18208.33333,79
4,8,0,30,0,79,0,3,0,1,0,79,0,3,0,9998,9998,9998,5,2,2,0,0,1,300,1,1500,65
5,9,0,30,0,57,1,4,0,1,0,57,1,4,0,50,3,0,5,4,2,1,0,0,0,1,NA,82
6,10,0,2,0,34,2,2,0,1,0,34,2,2,0,33,2,0,2,2,4,0,11,0,0,1,4600,54
7,10,0,12,0,39,1,4,0,1,0,39,1,4,0,38,3,0,5,2,2,1,0,1,250,1,NA,55
8,10,0,20,0,34,1,9999,0,1,0,34,1,9999,0,34,0,1,7,3,4,1,7,1,400,1,NA,69
